Award,Winner,Film
Best Picture,,"Anne Rosellini and Alix Madigan-Yorkin, Producers"
Short Film (Animated),,Teddy Newton
Short Film (Animated),,Jakob Schuh and Max Lang
Short Film (Animated),,Geefwee Boedoe
Short Film (Animated),,Bastien Dubois
Short Film (Live Action),,Tanel Toom
Short Film (Live Action),,Michael Creagh
Short Film (Live Action),,Ivan Goldschmidt
Short Film (Live Action),,Ian Barnes and Samantha Waite
Sound Editing,,Tom Myers and Michael Silvers
Sound Editing,,Gwendolyn Yates Whittle and Addison Teague
Sound Editing,,Skip Lievsay and Craig Berkey
Sound Editing,,Mark P. Stoeckinger
Sound Mixing,,"Paul Hamblin, Martin Jensen and John Midgley"
Sound Mixing,,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin"
Sound Mixing,,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten"
Sound Mixing,,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland"
Visual Effects,,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips"
Visual Effects,,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi"
Visual Effects,,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell"
Visual Effects,,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick"
Writing (Adapted Screenplay),,Screenplay by Danny Boyle & Simon Beaufoy
Writing (Adapted Screenplay),,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich"
Writing (Adapted Screenplay),,Written for the screen by Joel Coen & Ethan Coen
Writing (Adapted Screenplay),,Adapted for the screen by Debra Granik & Anne Rosellini
Writing (Original Screenplay),,Written by Mike Leigh
Writing (Original Screenplay),,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson
Writing (Original Screenplay),,Written by Christopher Nolan
Writing (Original Screenplay),,Written by Lisa Cholodenko & Stuart Blumberg
Actor in a Leading Role,,A Better Life
Actor in a Leading Role,,The Descendants
Actor in a Leading Role,,Tinker Tailor Soldier Spy
Actor in a Leading Role,,Moneyball
Actor in a Supporting Role,,My Week with Marilyn
Actor in a Supporting Role,,Moneyball
Actor in a Supporting Role,,Warrior
Actor in a Supporting Role,,Extremely Loud & Incredibly Close
Actress in a Leading Role,,Albert Nobbs
