Award,Winner,Film
Actor in a Leading Role,,A Single Man
Actor in a Leading Role,,Invictus
Actor in a Leading Role,,The Hurt Locker
Actor in a Supporting Role,,Invictus
Actor in a Supporting Role,,The Messenger
Actor in a Supporting Role,,The Last Station
Actor in a Supporting Role,,The Lovely Bones
Actor in a Supporting Role,1.0,Inglourious Basterds
Actress in a Leading Role,1.0,The Blind Side
Actress in a Leading Role,,The Last Station
Actress in a Leading Role,,An Education
Actress in a Leading Role,,Precious: Based on the Novel 'Push' by Sapphire
Actress in a Leading Role,,Julie & Julia
Actress in a Supporting Role,,Nine
Actress in a Supporting Role,,Up in the Air
Actress in a Supporting Role,,Crazy Heart
Actress in a Supporting Role,,Up in the Air
Actress in a Supporting Role,1.0,Precious: Based on the Novel 'Push' by Sapphire
Animated Feature Film,,Henry Selick
Animated Feature Film,,Wes Anderson
Animated Feature Film,,John Musker and Ron Clements
Animated Feature Film,,Tomm Moore
Animated Feature Film,1.0,Pete Docter
Art Direction,1.0,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair
Art Direction,,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith
Art Direction,,Production Design: John Myhre; Set Decoration: Gordon Sim
Art Direction,,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer
Art Direction,,Production Design: Patrice Vermette; Set Decoration: Maggie Gray
Cinematography,1.0,Mauro Fiore
Cinematography,,Bruno Delbonnel
Cinematography,,Barry Ackroyd
Cinematography,,Robert Richardson
Cinematography,,Christian Berger
Costume Design,,Janet Patterson
Costume Design,,Catherine Leterrier
Costume Design,,Monique Prudhomme
Costume Design,,Colleen Atwood
Costume Design,1.0,Sandy Powell
Directing,,James Cameron
Directing,1.0,Kathryn Bigelow
Directing,,Quentin Tarantino
Directing,,Lee Daniels
Directing,,Jason Reitman
Documentary (Feature),,Anders Østergaard and Lise Lense-Møller
Documentary (Feature),1.0,Louie Psihoyos and Fisher Stevens
Documentary (Feature),,Robert Kenner and Elise Pearlstein
Documentary (Feature),,Judith Ehrlich and Rick Goldsmith
Documentary (Feature),,Rebecca Cammisa
Documentary (Short Subject),,Jon Alpert and Matthew O'Neill
Documentary (Short Subject),,Daniel Junge and Henry Ansbacher
Documentary (Short Subject),,Steven Bognar and Julia Reichert
Documentary (Short Subject),1.0,Roger Ross Williams and Elinor Burkett
Documentary (Short Subject),,Bartek Konopka and Anna Wydra
Film Editing,,"Stephen Rivkin, John Refoua and James Cameron"
Film Editing,,Julian Clarke
Film Editing,1.0,Bob Murawski and Chris Innis
Film Editing,,Sally Menke
Film Editing,,Joe Klotz
Foreign Language Film,,Israel
Foreign Language Film,,Peru
Foreign Language Film,,France
Foreign Language Film,1.0,Argentina
Foreign Language Film,,Germany
Makeup,,Aldo Signoretti and Vittorio Sodano
Makeup,1.0,"Barney Burman, Mindy Hall and Joel Harlow"
Makeup,,Jon Henry Gordon and Jenny Shircore
Music (Original Score),,James Horner
Music (Original Score),,Alexandre Desplat
Music (Original Score),,Marco Beltrami and Buck Sanders
Music (Original Score),,Hans Zimmer
Music (Original Score),1.0,Michael Giacchino
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music by Reinhardt Wagner; Lyric by Frank Thomas
Music (Original Song),,Music and Lyric by Maury Yeston
Music (Original Song),1.0,Music and Lyric by Ryan Bingham and T Bone Burnett
Best Picture,,"James Cameron and Jon Landau, Producers"
Best Picture,,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers"
Best Picture,,"Peter Jackson and Carolynne Cunningham, Producers"
Best Picture,,"Finola Dwyer and Amanda Posey, Producers"
Best Picture,1.0,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
Best Picture,,"Lawrence Bender, Producer"
Best Picture,,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
Best Picture,,"Joel Coen and Ethan Coen, Producers"
Best Picture,,"Jonas Rivera, Producer"
Best Picture,,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers"
Short Film (Animated),,Fabrice O. Joubert
Short Film (Animated),,Nicky Phelan and Darragh O'Connell
Short Film (Animated),,Javier Recio Gracia
Short Film (Animated),1.0,Nicolas Schmerkin
Short Film (Animated),,Nick Park
Short Film (Live Action),,Juanita Wilson and James Flynn
Short Film (Live Action),,Patrik Eklund and Mathias Fjellström
Short Film (Live Action),,Gregg Helvey
Short Film (Live Action),,Luke Doolan and Drew Bailey
Short Film (Live Action),1.0,Joachim Back and Tivi Magnusson
