,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
151,Blue Jasmine,PG-13,23 Aug 2013,98 min,78,7.3,N/A,Won 1 Oscar. Another 54 wins & 75 nominations.,Sony Pictures Classics
152,Gravity,PG-13,04 Oct 2013,91 min,96,7.7,"$274,084,951",Won 7 Oscars. Another 232 wins & 175 nominations.,Warner Bros. Pictures
153,Philomena,PG-13,27 Nov 2013,98 min,77,7.6,N/A,Nominated for 4 Oscars. Another 32 wins & 76 nominations.,The Weinstein Company
154,August: Osage County,R,10 Jan 2014,121 min,58,7.2,"$29,202,643",Nominated for 2 Oscars. Another 15 wins & 62 nominations.,The Weinstein Company
155,Intrusion: Cambodia,R,03 Mar 1983,90 min,N/A,3.1,N/A,N/A,N/A
156,"Palestine, Palestine",N/A,N/A,73 min,N/A,7.2,N/A,N/A,N/A
157,Foxcatcher,R,16 Jan 2015,134 min,81,7.0,"$9,744,477",Nominated for 5 Oscars. Another 12 wins & 74 nominations.,Sony Pictures Classics
158,American Sniper,R,16 Jan 2015,133 min,72,7.3,"$274,377,268",Won 1 Oscar. Another 23 wins & 42 nominations.,Warner Bros.
159,The Imitation Game,PG-13,25 Dec 2014,114 min,73,8.0,N/A,Won 1 Oscar. Another 46 wins & 155 nominations.,The Weinstein Company
160,The Theory of Everything,PG-13,26 Nov 2014,123 min,72,7.7,"$35,887,263",Won 1 Oscar. Another 24 wins & 121 nominations.,Focus Features
161,The Judge,R,10 Oct 2014,141 min,48,7.4,"$35,631,470",Nominated for 1 Oscar. Another 3 wins & 8 nominations.,Warner Bros. Pictures
162,Boyhood,R,15 Aug 2014,165 min,100,7.9,"$18,859,617",Won 1 Oscar. Another 171 wins & 209 nominations.,IFC Films
163,Whiplash,R,15 Oct 2014,106 min,88,8.5,N/A,Won 3 Oscars. Another 89 wins & 136 nominations.,Sony Pictures Classics
164,Still Alice,PG-13,20 Feb 2015,101 min,72,7.5,N/A,Won 1 Oscar. Another 30 wins & 32 nominations.,Sony Pictures Classics
165,Gone Girl,R,03 Oct 2014,149 min,79,8.1,N/A,Nominated for 1 Oscar. Another 65 wins & 177 nominations.,20th Century Fox
166,Wild,R,19 Dec 2014,115 min,76,7.1,"$24,673,716",Nominated for 2 Oscars. Another 11 wins & 65 nominations.,20th Century Fox
167,Into the Woods,PG,25 Dec 2014,125 min,69,6.0,"$89,789,227",Nominated for 3 Oscars. Another 11 wins & 71 nominations.,Walt Disney Pictures
168,21 Years: Richard Linklater,NOT RATED,07 Nov 2014,78 min,51,6.6,N/A,1 nomination.,Gravitas Ventures
169,Trumbo,R,27 Nov 2015,124 min,60,7.5,N/A,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,Bleecker Street Media
170,The Martian,PG-13,02 Oct 2015,144 min,80,8.0,"$202,313,768",Nominated for 7 Oscars. Another 37 wins & 185 nominations.,20th Century Fox
171,The Revenant,R,08 Jan 2016,156 min,76,8.0,N/A,Won 3 Oscars. Another 86 wins & 181 nominations.,20th Century Fox
172,Steve Jobs,R,23 Oct 2015,122 min,82,7.2,"$12,403,169",Nominated for 2 Oscars. Another 28 wins & 109 nominations.,Universal Pictures
173,The Danish Girl,R,22 Jan 2016,119 min,66,7.1,N/A,Won 1 Oscar. Another 30 wins & 73 nominations.,Focus Features
174,The Big Short,R,23 Dec 2015,130 min,81,7.8,N/A,Won 1 Oscar. Another 37 wins & 79 nominations.,Paramount Pictures
175,Spotlight,R,20 Nov 2015,129 min,93,8.1,N/A,Won 2 Oscars. Another 119 wins & 138 nominations.,Open Road Films
176,Bridge of Spies,PG-13,16 Oct 2015,142 min,81,7.6,N/A,Won 1 Oscar. Another 30 wins & 99 nominations.,Dreamworks Pictures
177,Creed,PG-13,25 Nov 2015,133 min,82,7.6,"$81,157,671",Nominated for 1 Oscar. Another 46 wins & 61 nominations.,Warner Bros.
178,Carol,R,15 Jan 2016,118 min,95,7.2,"$8,518,148",Nominated for 6 Oscars. Another 75 wins & 238 nominations.,The Weinstein Company
179,Room,R,22 Jan 2016,118 min,86,8.2,"$14,677,654",Won 1 Oscar. Another 103 wins & 136 nominations.,Element Pictures
180,Joy,PG-13,25 Dec 2015,124 min,56,6.6,"$42,581,369",Nominated for 1 Oscar. Another 7 wins & 20 nominations.,20th Century Fox
181,45 Years,R,28 Aug 2015,91 min,94,7.1,"$3,489,919",Nominated for 1 Oscar. Another 20 wins & 52 nominations.,Sundance Selects
182,Brooklyn,PG-13,25 Nov 2015,117 min,87,7.5,"$30,459,009",Nominated for 3 Oscars. Another 37 wins & 152 nominations.,Fox Searchlight Pictures
183,The Hateful Eight,R,30 Dec 2015,187 min,68,7.8,"$54,116,191",Won 1 Oscar. Another 39 wins & 113 nominations.,The Weinstein Company
184,Puskás Hungary,N/A,12 Mar 2009,116 min,N/A,8.7,N/A,4 wins.,N/A
185,Terrence Howard's Fright Club,N/A,24 May 2018,60 min,N/A,7.8,N/A,N/A,N/A
186,I Am Heath Ledger,NOT RATED,19 Oct 2017,90 min,68,7.4,N/A,N/A,Fathom Events
187,I'm Still Here,R,16 Sep 2010,108 min,48,6.2,"$408,719",1 win & 3 nominations.,Magnolia Pictures
188,Cold Souls,PG-13,05 May 2010,101 min,69,6.5,"$700,980",4 wins & 9 nominations.,IDP/Samuel goldwyn Films
