,Unnamed: 0,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,noms,wins,nominations,oscar_wins
141,141,Dallas Buyers Club,2013-11-17,22 Nov 2013,5000000.0,55198285.0,23750994.0,Drama,R,117.0,84.0,8.0,Won 3 Oscars. Another 81 wins & 81 nominations.,Focus Features,Won 3 Oscars. Another 81 wins ,81.0,81.0,
142,142,Captain Phillips,2013-10-10,11 Oct 2013,55000000.0,95000000.0,107100855.0,Action,PG-13,134.0,83.0,7.8,Nominated for 6 Oscars. Another 16 wins & 144 nominations.,Sony Pictures,Nominated for 6 Oscars. Another 16 wins ,16.0,144.0,
143,143,Blue Jasmine,2013-07-25,23 Aug 2013,18000000.0,99206215.0,0.0,Comedy,PG-13,98.0,78.0,7.3,Won 1 Oscar. Another 54 wins & 75 nominations.,Sony Pictures Classics,Won 1 Oscar. Another 54 wins ,54.0,75.0,
144,144,Gravity,2013-10-03,04 Oct 2013,105000000.0,716392705.0,274084951.0,Science Fiction,PG-13,91.0,96.0,7.7,Won 7 Oscars. Another 232 wins & 175 nominations.,Warner Bros. Pictures,Won 7 Oscars. Another 232 wins ,232.0,175.0,
145,145,Philomena,2013-11-01,27 Nov 2013,12000000.0,100129872.0,0.0,Drama,PG-13,98.0,77.0,7.6,Nominated for 4 Oscars. Another 32 wins & 76 nominations.,The Weinstein Company,Nominated for 4 Oscars. Another 32 wins ,32.0,76.0,
146,146,August: Osage County,2013-12-26,10 Jan 2014,25000000.0,74188937.0,29202643.0,Comedy,R,121.0,58.0,7.2,Nominated for 2 Oscars. Another 15 wins & 62 nominations.,The Weinstein Company,Nominated for 2 Oscars. Another 15 wins ,15.0,62.0,
147,147,Intrusion: Cambodia,1983-03-03,03 Mar 1983,0.0,0.0,0.0,Action,R,90.0,,3.1,,,,0.0,,
148,148,"Palestine, Palestine",2002-07-03,,0.0,0.0,0.0,Documentary,,73.0,,7.2,,,,0.0,,
149,149,Foxcatcher,2014-05-19,16 Jan 2015,24000000.0,12096300.0,9744477.0,Drama,R,134.0,81.0,7.0,Nominated for 5 Oscars. Another 12 wins & 74 nominations.,Sony Pictures Classics,Nominated for 5 Oscars. Another 12 wins ,12.0,74.0,
150,150,American Sniper,2014-12-11,16 Jan 2015,58800000.0,542307423.0,274377268.0,War,R,133.0,72.0,7.3,Won 1 Oscar. Another 23 wins & 42 nominations.,Warner Bros.,Won 1 Oscar. Another 23 wins ,23.0,42.0,
151,151,The Imitation Game,2014-11-14,25 Dec 2014,14000000.0,233555708.0,0.0,History,PG-13,114.0,73.0,8.0,Won 1 Oscar. Another 46 wins & 155 nominations.,The Weinstein Company,Won 1 Oscar. Another 46 wins ,46.0,155.0,
152,152,The Theory of Everything,2014-11-26,26 Nov 2014,15000000.0,123726688.0,35887263.0,Drama,PG-13,123.0,72.0,7.7,Won 1 Oscar. Another 24 wins & 121 nominations.,Focus Features,Won 1 Oscar. Another 24 wins ,24.0,121.0,
153,153,The Judge,2014-10-08,10 Oct 2014,50000000.0,83719388.0,35631470.0,Drama,R,141.0,48.0,7.4,Nominated for 1 Oscar. Another 3 wins & 8 nominations.,Warner Bros. Pictures,Nominated for 1 Oscar. Another 3 wins ,3.0,8.0,
154,154,Boyhood,2014-06-05,15 Aug 2014,4000000.0,44349000.0,18859617.0,Drama,R,165.0,100.0,7.9,Won 1 Oscar. Another 171 wins & 209 nominations.,IFC Films,Won 1 Oscar. Another 171 wins ,171.0,209.0,
155,155,Whiplash,2014-10-10,15 Oct 2014,3300000.0,13092000.0,0.0,Drama,R,106.0,88.0,8.5,Won 3 Oscars. Another 89 wins & 136 nominations.,Sony Pictures Classics,Won 3 Oscars. Another 89 wins ,89.0,136.0,
156,156,Still Alice,2014-12-05,20 Feb 2015,5000000.0,43884652.0,0.0,Drama,PG-13,101.0,72.0,7.5,Won 1 Oscar. Another 30 wins & 32 nominations.,Sony Pictures Classics,Won 1 Oscar. Another 30 wins ,30.0,32.0,
157,157,Gone Girl,2014-10-01,03 Oct 2014,61000000.0,369330363.0,0.0,Mystery,R,149.0,79.0,8.1,Nominated for 1 Oscar. Another 65 wins & 177 nominations.,20th Century Fox,Nominated for 1 Oscar. Another 65 wins ,65.0,177.0,
158,158,Wild,2014-12-05,19 Dec 2014,15000000.0,52501541.0,24673716.0,Drama,R,115.0,76.0,7.1,Nominated for 2 Oscars. Another 11 wins & 65 nominations.,20th Century Fox,Nominated for 2 Oscars. Another 11 wins ,11.0,65.0,
159,159,Into the Woods,2014-12-25,25 Dec 2014,50000000.0,212902372.0,89789227.0,Fantasy,PG,125.0,69.0,6.0,Nominated for 3 Oscars. Another 11 wins & 71 nominations.,Walt Disney Pictures,Nominated for 3 Oscars. Another 11 wins ,11.0,71.0,
160,160,21 Years: Richard Linklater,2014-11-07,07 Nov 2014,0.0,0.0,0.0,Documentary,NOT RATED,78.0,51.0,6.6,1 nomination.,Gravitas Ventures,1 nomination.,,,
161,161,Trumbo,2015-10-27,27 Nov 2015,15000000.0,8235661.0,0.0,Drama,R,124.0,60.0,7.5,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,Bleecker Street Media,Nominated for 1 Oscar. Another 5 wins ,5.0,41.0,
162,162,The Martian,2015-09-30,02 Oct 2015,108000000.0,630161890.0,202313768.0,Drama,PG-13,144.0,80.0,8.0,Nominated for 7 Oscars. Another 37 wins & 185 nominations.,20th Century Fox,Nominated for 7 Oscars. Another 37 wins ,37.0,185.0,
163,163,The Revenant,2015-12-25,08 Jan 2016,135000000.0,532950503.0,0.0,Western,R,156.0,76.0,8.0,Won 3 Oscars. Another 86 wins & 181 nominations.,20th Century Fox,Won 3 Oscars. Another 86 wins ,86.0,181.0,
164,164,Steve Jobs,2015-10-09,23 Oct 2015,30000000.0,34441873.0,12403169.0,Drama,R,122.0,82.0,7.2,Nominated for 2 Oscars. Another 28 wins & 109 nominations.,Universal Pictures,Nominated for 2 Oscars. Another 28 wins ,28.0,109.0,
165,165,The Danish Girl,2015-11-27,22 Jan 2016,15000000.0,64191523.0,0.0,Drama,R,119.0,66.0,7.1,Won 1 Oscar. Another 30 wins & 73 nominations.,Focus Features,Won 1 Oscar. Another 30 wins ,30.0,73.0,
166,166,The Big Short,2015-12-11,23 Dec 2015,28000000.0,133346506.0,0.0,Comedy,R,130.0,81.0,7.8,Won 1 Oscar. Another 37 wins & 79 nominations.,Paramount Pictures,Won 1 Oscar. Another 37 wins ,37.0,79.0,
167,167,Spotlight,2015-11-06,20 Nov 2015,20000000.0,88346473.0,0.0,Drama,R,129.0,93.0,8.1,Won 2 Oscars. Another 119 wins & 138 nominations.,Open Road Films,Won 2 Oscars. Another 119 wins ,119.0,138.0,
168,168,Bridge of Spies,2015-10-15,16 Oct 2015,40000000.0,165478348.0,0.0,Thriller,PG-13,142.0,81.0,7.6,Won 1 Oscar. Another 30 wins & 99 nominations.,Dreamworks Pictures,Won 1 Oscar. Another 30 wins ,30.0,99.0,
169,169,Creed,2015-11-25,25 Nov 2015,37000000.0,173567581.0,81157671.0,Drama,PG-13,133.0,82.0,7.6,Nominated for 1 Oscar. Another 46 wins & 61 nominations.,Warner Bros.,Nominated for 1 Oscar. Another 46 wins ,46.0,61.0,
170,170,Carol,2015-11-20,15 Jan 2016,0.0,40272135.0,8518148.0,Romance,R,118.0,95.0,7.2,Nominated for 6 Oscars. Another 75 wins & 238 nominations.,The Weinstein Company,Nominated for 6 Oscars. Another 75 wins ,75.0,238.0,
171,171,Room,2015-10-16,22 Jan 2016,6000000.0,35401758.0,14677654.0,Drama,R,118.0,86.0,8.2,Won 1 Oscar. Another 103 wins & 136 nominations.,Element Pictures,Won 1 Oscar. Another 103 wins ,103.0,136.0,
172,172,Joy,2015-12-24,25 Dec 2015,60000000.0,101134059.0,42581369.0,Drama,PG-13,124.0,56.0,6.6,Nominated for 1 Oscar. Another 7 wins & 20 nominations.,20th Century Fox,Nominated for 1 Oscar. Another 7 wins ,7.0,20.0,
173,173,45 Years,2015-08-28,28 Aug 2015,0.0,4250507.0,3489919.0,Drama,R,91.0,94.0,7.1,Nominated for 1 Oscar. Another 20 wins & 52 nominations.,Sundance Selects,Nominated for 1 Oscar. Another 20 wins ,20.0,52.0,
