,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
489,Leviathan,1989-03-17,05 Feb 2015,25000000.0,15704614.0,754393.0,Adventure,R,140.0,92.0,7.6,"N1O, ++33,44",Sony Pictures Classics,33.0,44.0,N,1
490,Timbuktu,2014-12-10,10 Dec 2014,0.0,1076075.0,696436.0,Drama,PG-13,97.0,92.0,7.2,"N1O, ++28,19",Cohen Media Group,28.0,19.0,N,1
491,Guardians of the Galaxy,2014-07-30,01 Aug 2014,170000000.0,773328629.0,270592504.0,Action,PG-13,121.0,76.0,8.1,"N2O, ++52,99",Walt Disney Pictures,52.0,99.0,N,2
492,Interstellar,2014-11-05,07 Nov 2014,165000000.0,675120017.0,158737441.0,Adventure,PG-13,169.0,74.0,8.6,"W1O, ++43,143",Paramount Pictures,43.0,143.0,W,1
493,Selma,2014-12-25,09 Jan 2015,20000000.0,66787908.0,0.0,History,PG-13,128.0,89.0,7.5,"W1O, ++58,88",Paramount Pictures,58.0,88.0,W,1
494,The Bigger Picture,2014-05-21,11 Oct 2014,0.0,0.0,0.0,Drama,,8.0,,6.7,"N1O, ++6,5",,6.0,5.0,N,1
495,The Dam Keeper,2014-02-06,11 Oct 2014,0.0,0.0,0.0,Animation,TV-G,18.0,,8.0,"N1O, ++6,2",,6.0,2.0,N,1
496,Feast,2014-11-07,18 Jan 2007,0.0,0.0,0.0,Animation,R,95.0,43.0,6.3,"++1,,",The Weinstein Company,,,,1
497,A Single Life,2014-12-04,01 Sep 2014,0.0,0.0,0.0,Animation,TV-PG,3.0,,7.4,"N1O, ++++1,1",NB Thrilling Films,1.0,1.0,N,1
498,Boogaloo and Graham,2014-08-01,01 Aug 2014,0.0,0.0,0.0,Drama,TV-PG,14.0,,7.3,"N1O, ++2,5",Out of Orbit Films,2.0,5.0,N,1
499,Parvaneh,2012-11-01,01 Nov 2012,0.0,0.0,0.0,Drama,TV-G,25.0,,6.8,"N1O, ++1",Zurich University of Arts,0.0,,N,1
500,The Phone Call,2013-10-20,20 Feb 2015,0.0,0.0,0.0,Drama,TV-14,22.0,,7.2,"W1O, ++7,3",,7.0,3.0,W,1
