,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Production Company,wins,nominations,Win or Nominated,Oscar Wins
427,Adam and Dog,2013-02-01,06 Nov 2012,0.0,0.0,0.0,Animation,TV-PG,16.0,0,6.9,Not Listed,1.0,Not Listed,N,1
428,Fresh Guacamole,2012-03-02,02 Mar 2012,0.0,0.0,0.0,Animation,Not Listed,2.0,0,7.4,Not Listed,0.0,Not Listed,N,1
430,Paperman,2012-11-02,02 Nov 2012,0.0,0.0,0.0,Animation,G,7.0,0,8.3,Walt Disney Pictures,2.0,2.0,W,1
431,Curfew,2012-01-01,04 Oct 2012,50000.0,0.0,0.0,Drama,PG-13,19.0,0,7.9,Fuzzy Logic Pictures,20.0,3.0,W,1
433,The Avengers,2012-04-25,04 May 2012,220000000.0,1519557910.0,623279547.0,Science Fiction,PG-13,143.0,69.0,8.1,Walt Disney Pictures,38.0,79.0,N,1
434,Prometheus,2012-05-30,08 Jun 2012,130000000.0,403170142.0,126464904.0,Science Fiction,R,124.0,64.0,7.0,20th Century Fox,6.0,46.0,N,1
435,Moonrise Kingdom,2012-05-24,29 Jun 2012,16000000.0,68263166.0,45507865.0,Comedy,PG-13,94.0,84.0,7.8,Focus Features,38.0,118.0,N,1
438,The Croods,2013-03-20,22 Mar 2013,135000000.0,585178928.0,187165546.0,Action,PG,98.0,55.0,7.2,20th Century Fox,5.0,44.0,N,1
439,Despicable Me 2,2013-06-25,03 Jul 2013,76000000.0,970761885.0,368049635.0,Animation,PG,98.0,62.0,7.4,Universal Pictures,12.0,65.0,N,2
440,Frozen,2013-11-27,27 Nov 2013,150000000.0,1274219009.0,400736600.0,Animation,PG,102.0,74.0,7.5,Walt Disney Pictures,77.0,57.0,W,2
441,Inside Llewyn Davis,2013-10-06,10 Jan 2014,11000000.0,32935319.0,9666762.0,Drama,R,104.0,93.0,7.5,CBS Films,47.0,169.0,N,2
442,Prisoners,2013-09-18,20 Sep 2013,46000000.0,122126687.0,60962878.0,Drama,R,153.0,74.0,8.1,Warner Bros.,10.0,35.0,N,1
443,The Great Gatsby,2013-05-10,10 May 2013,105000000.0,351040419.0,144812796.0,Drama,PG-13,143.0,55.0,7.3,Warner Bros. Pictures,47.0,83.0,W,2
444,The Invisible Woman,2013-12-25,21 Feb 2014,0.0,1234254.0,1200000.0,Drama,R,111.0,75.0,6.2,Sony Pictures Classics,1.0,7.0,N,1
